Constellation, Max Distance, Same Constellations Accross Cultures 
CON korean 005,0.06466472057944705, 2
CON chinese 267,0.06512413820145216, 1
CON korean 075,0.06513426041663148, 1
CON korean 048,0.06545177342139415, 1
CON chinese 226,0.06545177342139415, 1
CON indian N19,0.06545677152174977, 1
CON western_hlad Sco,0.06545677152174977, 1
CON tukano 009,0.06562887387279262, 1
CON korean 248,0.06572092239513384, 1
CON hawaiian_starlines MAN,0.06580490527346847, 1
CON korean 038,0.06580490527346847, 2
CON maori 004,0.06580490527346847, 1
CON western_rey Sco,0.06580490527346847, 1
CON arabic_al-sufi Sco,0.06580490527346847, 1
CON chinese 024,0.06580490527346847, 1
CON western_SnT Sco,0.06580490527346847, 1
CON tukano 001,0.06589186347266594, 1
CON western Ret,0.06601250417359827, 5
CON chinese 111,0.06669616992845376, 1
CON chinese 076,0.0669468706234841, 1
CON arabic_al-sufi CrA,0.06699786198855123, 1
CON chinese 043,0.06699786198855123, 1
CON chinese 251,0.06719729914481569, 1
CON chinese 090,0.06723334982043822, 1
CON chinese 306,0.06727858660609701, 1
CON chinese 190,0.06748065023866939, 1
CON japanese_moon_stations 15,0.06756197946924114, 1
CON chinese 219,0.0678722947207616, 1
CON lokono 012,0.06812985783716506, 1
CON korean 258,0.06816951862777722, 1
CON japanese_moon_stations 19,0.0682942805164088, 1
CON indian N21,0.06863736397133159, 1
CON arabic_arabian_peninsula 2602,0.06863862947532862, 3
CON korean 109,0.06863862947532862, 4
CON ruelle Lyr,0.06888252736907352, 1
CON chinese 220,0.06891490286956417, 1
CON belarusian 012,0.06898466515709706, 1
CON arabic_arabian_peninsula 4206,0.06900702646956103, 3
CON arabic_ancient 4205,0.06900702646956103, 1
CON chinese 120,0.06908780580044191, 1
CON korean 264,0.06933130796051228, 1
CON korean 171,0.06995848934967847, 1
CON korean 060,0.07011074106545875, 1
CON chinese 302,0.07014861095656104, 1
CON korean 122,0.07040802957385735, 2
CON chinese 318,0.07098264372252544, 1
CON ruelle Ret,0.07126067250183987, 1
CON ruelle Sco,0.071310785405914, 1
CON korean 113,0.07131170796866522, 1
CON korean 105,0.07133951315583324, 1
CON western_hlad Nor,0.07146011738005359, 3
CON chinese 154,0.071602562676114, 1
CON arabic_ancient 0799,0.07186039587890625, 2
CON western_rey DraH,0.07186039587890625, 1
CON western_rey DraF,0.07186485690631765, 1
CON chinese 257,0.0718902349546566, 1
CON chinese 038,0.07211964755622952, 1
CON korean 128,0.07215551044390134, 1
CON chinese 254,0.07238381032150698, 1
CON northern_andes 001,0.07244984701549192, 1
CON chinese 080,0.07260199110998114, 1
CON korean 136,0.07268435224698215, 1
CON arabic_ancient 2003,0.07281764568527459, 1
CON chinese 167,0.07286521452388141, 1
CON arabic_ancient 2006,0.07301256110733019, 1
CON korean 037,0.07344035626588362, 1
CON arabic_ancient 1902,0.07351813125516718, 2
CON western Per,0.07373894712964005, 3
CON korean 188,0.0740197175730609, 1
CON tukano 010,0.07404476797623596, 2
CON bugis 001,0.07404476797623596, 1
CON arabic_arabian_peninsula 3099,0.07444849372817651, 3
CON western_hlad Equ,0.07470105410252843, 1
CON korean 259,0.07470113432958096, 1
CON korean 191,0.07482834931146586, 1
CON romanian Bar,0.0748832837826495, 1
#CON arabic_arabian_peninsula 2801,0.07503536702942164, 11
CON korean 165,0.07503536702942164, 1
CON chinese 149,0.07503536702942164, 1
CON chinese 147,0.07530394247585838, 1
CON korean 108,0.07559697207660641, 1
CON korean 265,0.07567669260278419, 1
CON arabic_arabian_peninsula 2810,0.07581052852528865, 3
CON bugis 003,0.07582429864599588, 1
CON chinese 181,0.0759747351891614, 1
CON chinese 212,0.07601912181068929, 1
CON arabic_al-sufi Ori,0.07603505460646838, 1
CON korean 179,0.07605695520941892, 1
CON korean 080,0.0762854184530592, 2
CON korean 170,0.07685792278322681, 1
CON korean 053,0.07691339884733525, 1
CON hawaiian_starlines NAK,0.07715737512975376, 5
CON korean 023,0.07715737512975376, 1
CON anutan 011,0.07715737512975376, 1
CON western_rey Aps,0.07761875497819948, 1
CON korean 249,0.07777226667731517, 1
CON chinese 165,0.07777226667731517, 1
CON lokono 011,0.07777226667731517, 1
CON western Dor,0.07778309788994706, 2
CON western_hlad Dor,0.07778309788994706, 1
CON chinese 113,0.07778309788994706, 1
CON chinese 067,0.07862604948153248, 1
#CON indian N07,0.07865090315870252, 7
CON korean 158,0.07865090315870252, 2
CON chinese 192,0.07909169643617257, 1
CON anutan 001,0.07915842760846212, 1
CON chinese 287,0.07929206781408032, 1
CON chinese 186,0.07940235522484262, 1
CON western Nor,0.07991548646376527, 2
CON ruelle Sct,0.08008000716498911, 1
CON egyptian 008,0.08020573847843958, 1
CON indian N20,0.08038421693374591, 1
CON romanian Arc,0.08038421693374591, 1
CON korean 098,0.08104097274338898, 1
CON chinese 256,0.08105547648051865, 1
CON korean 182,0.08109369597862476, 1
