Constellation, Average Colinearity, Same Constellations Accross Cultures 
CON book-of-the-stars-almagest SFA,2.4711507294588206, 1
CON western_SnT Cen,2.4696722409100342, 1
CON western_SnT Per,2.4691925562574832, 1
CON western Cap,2.4685297732202334, 3
CON western_hlad Her,2.4668466220906864, 1
#CON macedonian 016,2.4665621105414037, 10
CON korean 086,2.4658986769077402, 1
CON chinese 136,2.4658986769077402, 1
CON boorong Pur,2.4639034799555426, 1
CON western Her,2.463643470354483, 1
CON chinese 080,2.462640402011781, 1
CON western Sgr,2.460273209467343, 2
CON western_rey Ori,2.459784783499201, 1
CON korean 120,2.459364648530327, 1
CON arabic_al-sufi Ori,2.4574921854159975, 1
CON egyptian 021,2.4570234825732946, 1
CON western_SnT Car,2.4568554619129386, 1
CON western_rey Pup,2.4555924465881964, 1
CON korean 041,2.4544296240986836, 1
CON romanian Sar,2.4540501188477815, 1
CON arabic_ancient 4199,2.4531474900049126, 1
CON korean 038,2.452582750113536, 2
CON korean 262,2.451953360466571, 1
CON maori 004,2.4518687267316372, 1
CON chinese 024,2.4518687267316372, 1
CON chinese 141,2.451496250646176, 1
CON western_SnT Peg,2.4513473533436714, 1
CON tupi 003,2.450120071121162, 1
CON indian N19,2.449243466511674, 1
CON ruelle Sco,2.4487369456974886, 1
CON navajo 003,2.4447154096247385, 1
CON korean 090,2.4439151904282173, 1
CON arabic_ancient 1199,2.4437764577469103, 1
CON korean 075,2.441252384656513, 1
CON arabic_al-sufi Tau,2.44099271202783, 1
CON western Cet,2.4403062192323297, 2
CON tukano 004,2.43968817586197, 1
CON chinese 181,2.4378815651482224, 1
CON korean 229,2.4369863537247958, 2
CON chinese 066,2.4365268240718367, 1
CON egyptian 007,2.4364391612417884, 1
CON western_hlad Col,2.4362877946255703, 2
CON western_rey Dra,2.433561164940036, 2
CON arabic_al-sufi Cen,2.4312621880628846, 1
CON arabic_al-sufi Arg,2.4311759873028307, 1
CON western_hlad Psc,2.430558306297102, 1
CON korean 082,2.4305342996441617, 1
CON ruelle Her,2.4302061309797174, 1
CON korean 108,2.428124954406257, 1
CON romanian Arc,2.4269615051836815, 1
CON ruelle Com,2.4252776847843505, 1
CON chinese 075,2.423245557936787, 1
CON arabic_al-sufi PsA,2.4211675680005333, 1
CON chinese 064,2.420980886369041, 1
CON western_hlad UMa,2.4184742007539524, 1
CON romanian Psc,2.418367970090092, 1
CON western_rey Psc,2.417938867714794, 1
CON bugis 003,2.417265059791303, 1
CON japanese_moon_stations 26,2.4165219504786717, 1
CON western_hlad Gru,2.4163213361435925, 1
CON korean 186,2.4140373793536702, 1
CON korean 185,2.4135323029262383, 1
CON western_rey Leo,2.4127947297386583, 1
CON western Pic,2.4117448568781104, 4
CON korean 190,2.4113430759881567, 1
CON korean 211,2.411164037162119, 1
CON korean 237,2.4104914205268266, 1
CON navajo 002,2.408967468452852, 1
CON western_hlad Mon,2.4067041121938066, 1
CON western_hlad Aqr,2.4041014363318824, 1
CON korean 056,2.4029458219591895, 1
CON chinese 254,2.402095030252153, 1
CON egyptian 011,2.3992110663723034, 1
CON korean 089,2.3983633832140394, 1
CON romanian Sco,2.397616662586805, 1
CON western_SnT Aql,2.3970871965833624, 1
CON ruelle Tau,2.396866391676119, 1
CON western_rey Vir,2.3966963286343095, 1
