Constellation, Min Colinearity, Same Constellations Accross Cultures 
CON arabic_al-sufi Aur,1.5433979673403841, 1
CON korean 074,1.5459114020701783, 1
CON korean 152,1.5494977131867407, 2
CON western Gru,1.5498271638897807, 3
CON arabic_al-sufi Sgr,1.5513127792400145, 1
CON chinese 287,1.552200662617944, 1
CON western_hlad Mic,1.5523964465096154, 1
CON western_hlad Pav,1.5539357769182662, 1
CON romanian Ber,1.554051526387873, 1
CON tukano 004,1.5550106247107474, 1
CON western Hor,1.5620942363838752, 2
CON korean 249,1.5697207502312889, 1
CON western_hlad Her,1.5697207502312889, 1
CON chinese 118,1.5733158247529406, 1
CON korean 024,1.573642616525992, 1
CON korean 112,1.5794864721192414, 1
CON arabic_ancient 4799,1.5794864721192414, 1
CON chinese 210,1.5794864721192414, 1
CON romanian Hra,1.5802587086256508, 1
CON chinese 271,1.5809422134243893, 1
CON hawaiian_starlines KOM,1.5847351676633898, 1
CON korean 130,1.5847351676633898, 2
CON western Aur,1.5847351676633898, 4
CON korean 142,1.590858508783736, 1
CON chinese 067,1.5977702739071062, 1
CON korean 261,1.5985153611434844, 1
CON korean 144,1.5994412377008589, 1
CON romanian Prb,1.5997012918244278, 1
CON korean 151,1.6035884630854054, 2
CON arabic_ancient 1399,1.6048835081738517, 1
CON western_rey Hya,1.6070864022202176, 1
CON anutan 009,1.6171190915764502, 1
CON chinese 145,1.61839847928965, 1
CON western_SnT Sex,1.6201028971461084, 1
CON western_SnT Vir,1.6210971624757038, 1
CON korean 040,1.623777325150919, 2
CON chinese 195,1.624820467339135, 1
CON ruelle Vul,1.625714416109095, 1
CON western_hlad Vol,1.6271716226776733, 1
CON western Oph,1.628532957194971, 2
CON western_hlad Oph,1.628532957194971, 1
CON western_SnT Oph,1.628532957194971, 1
CON western Cet,1.6324246236367275, 2
CON korean 188,1.6393378692205713, 1
CON western_hlad Mon,1.645381743439349, 1
CON macedonian 003,1.6459245576513972, 1
CON tongan 007,1.6459245576513972, 1
CON chinese 036,1.6511642511710547, 1
CON korean 015,1.6518746032217977, 1
CON macedonian 013,1.6578525808175062, 1
CON arabic_ancient 1101,1.6668890951479036, 1
CON arabic_ancient 1199,1.6668890951479036, 1
CON korean 037,1.6670363467462, 1
CON arabic_ancient 2703,1.6671825741184625, 1
CON arabic_ancient 2799,1.6671825741184625, 1
CON romanian Gem,1.6695812016670033, 1
CON western_rey Oph,1.670700582039336, 1
CON ruelle Sge,1.673533830539607, 1
CON korean 075,1.674223331272536, 1
CON western_rey Ind,1.6750662558883294, 1
CON japanese_moon_stations 21,1.6758656446266202, 1
CON western Eri,1.6759262568463156, 2
CON western_SnT Eri,1.6759262568463156, 1
CON chinese 244,1.6761188100574334, 1
CON ruelle Cas,1.6763688849587215, 1
CON korean 076,1.6833149488324797, 1
CON ruelle Gem,1.6834686693639636, 1
CON aztec 003,1.6834686693639636, 1
CON ruelle UMa,1.687213761331735, 1
CON western Peg,1.6882932025966162, 2
CON arabic_ancient 2599,1.6882932025966162, 1
CON western_rey GSq,1.6882932025966162, 2
CON western_SnT Peg,1.6882932025966162, 1
CON western_hlad Cen,1.6924742744965449, 1
CON ruelle Cen,1.6924742744965449, 1
CON chinese 190,1.6938807709643096, 1
CON korean 240,1.6948575024833046, 1
CON lokono 003,1.6997068952634844, 1
CON korean 086,1.7001773587351725, 1
CON chinese 136,1.7001773587351725, 1
CON romanian Vca,1.7002534058342564, 1
CON indian N16,1.7009238939981484, 1
CON western_hlad Lib,1.7009238939981484, 1
CON japanese_moon_stations 03,1.7009238939981484, 1
CON western_rey Lib,1.7009238939981484, 2
CON western_rey Cap,1.7018237376561083, 1
CON korean 129,1.7040252062299845, 1
CON chinese 252,1.7040252062299845, 1
CON egyptian 010,1.7055739017217137, 1
CON romanian Cma,1.7066278234364822, 1
CON korean 124,1.707025369581352, 1
CON belarusian 003,1.707025369581352, 1
CON western_hlad Gru,1.7071685873613438, 1
CON boorong Bun,1.7075681572225, 1
CON anutan 006,1.707820384250269, 1
CON chinese 053,1.7094789914309398, 1
CON boorong Lnk,1.7175860120338036, 1
CON arabic_al-sufi Boo,1.7207458306684766, 1
CON western_hlad Aqr,1.7259168187043654, 1
CON chinese 290,1.727327196889216, 1
CON chinese 214,1.7315918741263334, 1
CON korean 016,1.731773070172852, 1
CON chinese 209,1.741547549069956, 1
CON chinese 220,1.7423522599673595, 1
CON chinese 098,1.7434648718354582, 1
CON chinese 049,1.743503126979461, 1
CON korean 077,1.749995038223787, 1
#CON arabic_arabian_peninsula 300,1.7503924692884436, 10
CON western_rey Cas,1.7503924692884436, 1
CON sami 001,1.7503924692884436, 1
CON korean 235,1.7587489098639386, 1
CON chinese 095,1.7604408232249662, 1
CON arabic_ancient 6199,1.769068299239776, 1
CON western_rey Pup,1.7692255386669065, 1
CON western_SnT Pup,1.7692255386669065, 1
CON western_SnT Cen,1.7716371671586177, 1
#CON western UMi,1.7719051268259585, 9
CON aztec 004,1.7719051268259585, 1
CON arabic_al-sufi UMi,1.7719051268259585, 1
CON ruelle Lib,1.7745929916984355, 1
CON arabic_ancient 4399,1.7752828065864645, 1
CON chinese 316,1.7887198543370209, 1
CON boorong Wjl,1.7910070923468822, 1
CON western_hlad Tuc,1.7972500251162207, 2
CON western_rey Tuc,1.7972500251162207, 1
CON korean 054,1.800456565581446, 1
CON western Hyi,1.8017225339171494, 2
CON western_rey Hyi,1.8017225339171494, 1
CON arabic_arabian_peninsula 3005,1.8032679198297354, 3
CON ruelle Cer,1.805338656628152, 1
CON arabic_ancient 4999,1.8086831028337262, 1
CON navajo 002,1.8154886116503557, 1
CON chinese 212,1.8161176497437124, 1
CON western_SnT Cha,1.817827894062083, 1
CON western_rey Aql,1.8190473440813983, 1
CON arabic_ancient 1901,1.8193332267124045, 2
CON arabic_ancient 1999,1.8193332267124045, 2
CON western_rey PsA,1.8250209063446716, 2
CON chinese 240,1.8250209063446716, 1
CON romanian Sco,1.8265416347278602, 1
CON chinese 088,1.8299343028635982, 1
CON chinese 237,1.831555699022012, 1
CON korean 216,1.8318901059273438, 1
CON chinese 208,1.8318901059273438, 1
CON western_rey Cha,1.8350081100834597, 1
CON chinese 134,1.8354465782274891, 1
CON chinese 080,1.8374058518400744, 1
CON tupi 006,1.842076238531225, 1
CON western Sgr,1.8440002014831458, 2
CON western_hlad Sgr,1.8440002014831458, 1
CON chinese 256,1.8447340838808155, 1
#CON indian N13,1.8448539408918805, 2
CON hawaiian_starlines MEE,1.8448539408918805, 4
CON korean 192,1.8448539408918805, 3
CON western_SnT Boo,1.8453053617593875, 1
CON korean 178,1.8465566096148425, 1
CON arabic_ancient 4499,1.8498444482977867, 1
CON chinese 171,1.8524312232755415, 1
CON chinese 261,1.856528303846525, 1
CON korean 176,1.8567103491921368, 2
CON chinese 007,1.8567103491921368, 1
CON korean 248,1.859923243742551, 1
#CON macedonian 001,1.860731797628215, 11
CON ruelle Aqr,1.8633303261394785, 1
CON maori 006,1.8670639135765679, 1
CON chinese 275,1.8755393375827654, 1
CON korean 180,1.8764500943887201, 1
CON ruelle Mon,1.8782733762899353, 1
CON korean 135,1.8826589119791526, 1
CON romanian Chi,1.8836865611004534, 1
CON arabic_al-sufi SFB,1.883761817025683, 1
CON western_hlad Vel,1.88544914269462, 2
CON western_rey Vel,1.88544914269462, 1
CON boorong Kul,1.8863614585592479, 1
CON korean 175,1.89027331135228, 1
CON ruelle Cep,1.8917127983372526, 1
CON western Dra,1.8921469457721862, 4
CON western_hlad Dra,1.8921469457721862, 1
CON western_rey Dra,1.8921469457721862, 2
CON book-of-the-stars-almagest SFA,1.8921742548984937, 1
CON korean 022,1.8923276327833665, 1
CON lokono 011,1.8941255115167435, 1
CON western_hlad Mus,1.8946493328935903, 1
CON chinese 296,1.897479037355443, 1
CON western_rey SerCd,1.905370189239825, 1
CON korean 101,1.9064636624990485, 1
CON tukano 005,1.9127922466487541, 1
CON korean 128,1.9159882018583412, 1
CON western_rey Mon,1.916567905546252, 1
CON western_SnT Aqr,1.9176121458019906, 1
CON western Her,1.9177905430701192, 1
CON chinese_contemporary Her,1.9177905430701192, 1
CON romanian Omu,1.9177905430701192, 1
CON western_rey Eri,1.917864189307404, 1
CON bugis 001,1.924446686400379, 1
CON chinese 037,1.9260742813118017, 1
CON chinese 315,1.9278642321786479, 1
CON blackfoot 003,1.9330776758073598, 1
CON korean 052,1.934886578496785, 3
CON anutan 004,1.9413138017547569, 1
CON macedonian 015,1.9424179484496737, 1
CON tukano 001,1.9452685036604385, 1
CON chinese 075,1.9500274795165238, 1
CON korean 189,1.9506930410769714, 1
CON arabic_al-sufi Arg,1.9537359276549293, 1
CON ruelle Crv,1.9538058088159835, 2
CON boorong Ktc,1.9542775320616461, 1
CON chinese 173,1.9545102172313178, 1
CON arabic_ancient 0799,1.9578856994280296, 2
CON arabic_arabian_peninsula 4299,1.9595453744932345, 1
CON western Ori,1.9595453744932345, 2
CON arabic_ancient 4299,1.9595453744932345, 2
CON western_hlad Ori,1.9595453744932345, 1
CON romanian Rar,1.9595453744932345, 1
CON sardinian 004,1.9595453744932345, 2
CON korean 230,1.9616827044794025, 1
CON ruelle Tau,1.9620724062841788, 1
CON western_rey DraH,1.9626952769394856, 1
CON indian N28,1.966847137239827, 1
CON navajo 005,1.9669408112826363, 3
CON romanian Var,1.9677246005047764, 1
CON egyptian 024,1.970155131062474, 1
CON western_rey Ara,1.9723139342720468, 1
CON western Vel,1.9728257203340984, 2
CON macedonian 002,1.9742592855949341, 1
CON sardinian 002,1.9742592855949341, 1
CON navajo 008,1.977766887280311, 1
CON japanese_moon_stations 10,1.980204390176362, 1
CON chinese 089,1.9805984177497786, 1
CON western_SnT Ara,1.9805984177497786, 1
CON chinese 225,1.9865844680468634, 1
CON egyptian 014,1.9959121931930208, 1
CON korean 162,1.9959641026195312, 1
CON chinese 191,1.9959641026195312, 1
CON japanese_moon_stations 18,1.9960654725453624, 1
CON chinese 206,2.00791301193299, 1
CON egyptian 012,2.0084156549277994, 1
CON egyptian 015,2.011006975253574, 1
CON arabic_al-sufi Cas,2.011206509457419, 1
CON korean 213,2.015379210369866, 1
CON chinese 228,2.0234876112958853, 1
CON chinese 125,2.0256298346312445, 1
CON western Crt,2.028317307551349, 3
CON western_SnT Crt,2.028317307551349, 1
CON western Equ,2.0294858555622017, 4
CON arabic_al-sufi Lep,2.0299405167589994, 1
CON ruelle Mus,2.0331409148374213, 1
CON western_rey Mus,2.0331409148374213, 1
CON arabic_ancient 2299,2.035908163763829, 1
CON ruelle Aur,2.0384695223661993, 1
CON western_rey Her,2.0408060259537972, 1
CON korean 085,2.0410562039385542, 1
CON western_rey Leo,2.0415060027848604, 1
CON arabic_al-sufi Leo,2.0415060027848604, 1
CON western Pup,2.042110119069491, 2
CON chinese 263,2.0424339470768156, 1
CON arabic_arabian_peninsula 2550,2.0426313654745316, 3
CON arabic_ancient 2506,2.0426313654745316, 1
CON ruelle Lyn,2.047337772291868, 1
CON chinese 265,2.047945320606102, 1
CON egyptian 028,2.0517483439199067, 1
CON chinese 153,2.0533182452883345, 1
CON western_rey Sco,2.0596587263291495, 1
CON western_hlad Nor,2.0603099684239528, 3
CON maori 005,2.0621268190821325, 4
CON western_hlad Tau,2.0621268190821325, 1
CON romanian Tau,2.0621268190821325, 2
CON tupi 002,2.0621268190821325, 1
CON tupi 007,2.0621268190821325, 1
CON belarusian 007,2.0621268190821325, 1
CON western_hlad Car,2.06646610131623, 1
CON romanian Vir,2.067355920153353, 1
CON ruelle Com,2.069887527462255, 1
CON western_rey Lyr,2.071069834737785, 1
CON ruelle Sco,2.072016645908832, 1
CON korean 043,2.0724761161371, 1
CON hawaiian_starlines KHK,2.07304880590266, 1
CON arabic_al-sufi Lyr,2.0730573850546485, 1
CON ruelle PsA,2.0743021436476896, 1
CON ruelle Dra,2.0801145832251837, 1
CON arabic_ancient 0299,2.082131708419931, 2
CON chinese 050,2.084570889848525, 1
CON arabic_al-sufi Per,2.0861235498648876, 1
CON western PsA,2.087308417246874, 2
CON indian N03,2.088131405433309, 1
CON chinese 027,2.092466538063193, 1
CON korean 134,2.1013311307121887, 1
CON egyptian 025,2.103282202687777, 1
CON tukano 007,2.105635295069031, 3
CON sardinian 001,2.105635295069031, 1
