Constellation, Simulated Prolificness, Same Constellations Accross Cultures 
CON western_hlad Aqr,-4.093366873198176, 1
CON western Tel,-4.1, 3
CON korean 138,-4.103976402057393, 1
CON korean 108,-4.104468935820272, 1
CON arabic_ancient 1902,-4.106376156151224, 2
CON western_rey Mon,-4.109888442339419, 1
CON western_SnT Mon,-4.109888442339419, 1
CON western_rey TrA,-4.11, 2
CON egyptian 008,-4.11, 1
CON western_rey Per,-4.118982874329818, 1
CON western_SnT Per,-4.118982874329818, 1
CON western_SnT Ind,-4.1210132456487685, 1
CON western_SnT Boo,-4.123124677815318, 1
CON arabic_ancient 4207,-4.13, 1
CON korean 075,-4.130167460778596, 1
CON western_SnT Lyr,-4.131568915327919, 1
CON western_rey CMa,-4.135433993324143, 1
CON western_SnT CMa,-4.135433993324143, 1
CON arabic_ancient 0499,-4.138678844753356, 1
CON anutan 006,-4.14, 1
CON western_SnT Pup,-4.140872071272963, 1
CON korean 090,-4.141396140071414, 1
CON northern_andes 005,-4.142061028369553, 1
CON chinese 031,-4.14913460107536, 1
CON anutan 007,-4.153742040865161, 1
CON korean 158,-4.16, 2
CON western UMa,-4.1602162754651015, 3
CON korean 178,-4.16351478331301, 1
CON korean 185,-4.165968517269581, 1
CON chinese 128,-4.1661074720905775, 1
CON western_rey Crv,-4.166437551020104, 1
CON korean 100,-4.17, 1
CON western_SnT Cam,-4.175851538979715, 1
CON western Car,-4.178232479119063, 2
CON korean 086,-4.179759987072103, 1
CON chinese 136,-4.179759987072103, 1
CON korean 093,-4.18, 1
CON chinese 279,-4.18, 1
CON korean 251,-4.180745997907119, 1
CON western_rey Pup,-4.1808720712729635, 1
CON japanese_moon_stations 15,-4.184748725301463, 1
CON sardinian 002,-4.190438088410222, 1
CON western_rey LMi,-4.191407793847407, 2
CON western_hlad Sgr,-4.1926753594346815, 1
CON western_SnT Ser,-4.1975374205493825, 1
CON chinese 232,-4.197663677335039, 1
CON arabic_ancient 1199,-4.197917792964576, 1
CON korean 088,-4.2, 3
CON chinese 218,-4.2, 1
CON western_SnT Gru,-4.207858648011818, 1
CON arabic_al-sufi Cas,-4.210303963159684, 1
CON ruelle Cap,-4.2133557040501595, 1
CON western_rey Ser,-4.217455422611621, 1
CON western_rey SerCp,-4.217455422611621, 1
CON ruelle Lyr,-4.22, 1
CON ruelle Sct,-4.22, 1
CON western_rey DraF,-4.22, 1
CON western_rey Ophf2,-4.22, 1
CON chinese 108,-4.22, 1
CON chinese 310,-4.22, 1
CON ruelle Ser,-4.220678187541411, 1
CON western_rey Dor,-4.222288371148224, 2
CON chinese 119,-4.224350815806263, 1
CON romanian Cap,-4.226821279286852, 1
CON western_rey Cam,-4.227818467602682, 1
CON western Aps,-4.23, 2
CON western_rey Boo,-4.230605354433704, 1
CON chinese 050,-4.230914888816211, 1
CON western Cha,-4.24, 2
CON western CVn,-4.24, 5
CON korean 115,-4.25, 2
CON korean 102,-4.26, 2
CON navajo 005,-4.260244444554405, 3
CON korean 161,-4.2606783456522255, 2
CON arabic_ancient 4999,-4.267400701738023, 1
CON siberian DNe,-4.267836407217548, 1
CON korean 126,-4.27, 1
CON chinese 251,-4.27, 1
CON korean 079,-4.28, 1
CON arabic_ancient 2702,-4.28, 1
CON western_rey Ant,-4.28, 1
CON chinese 126,-4.28, 1
CON western_SnT Her,-4.283022716603694, 1
CON western Ser,-4.2930595802223666, 2
CON korean 145,-4.294342010176439, 1
CON chinese 103,-4.294411300815813, 1
CON western_hlad Oct,-4.296004113865518, 1
CON western_hlad Tel,-4.299149739082567, 1
CON korean 267,-4.3, 2
CON japanese_moon_stations 18,-4.3, 1
CON western_rey Scl,-4.3, 1
CON egyptian 015,-4.3, 1
CON western_hlad Equ,-4.30125501826886, 1
CON western Aqr,-4.307868864735044, 2
CON western_hlad Cap,-4.308070623361655, 1
CON western_hlad Hya,-4.30873503843624, 1
CON korean 026,-4.31, 2
CON western Oct,-4.31, 4
CON arabic_ancient 5399,-4.311319661222728, 1
CON western Dor,-4.312251701502141, 2
CON japanese_moon_stations 25,-4.314134889714748, 1
CON western CMa,-4.315433993324143, 1
CON chinese_contemporary CMa,-4.315433993324143, 1
CON chinese 252,-4.3172853828903754, 1
CON korean 232,-4.31742767092438, 1
CON chinese 301,-4.324982572674857, 1
CON navajo 006,-4.325280015126525, 1
CON ruelle Mon,-4.325487879817427, 1
CON korean 022,-4.327808518770509, 1
CON chinese 221,-4.329977648621629, 1
CON korean 165,-4.33, 1
CON western_hlad Cam,-4.333379235903856, 1
CON korean 265,-4.34, 1
CON western_hlad Dor,-4.34, 1
CON ruelle Lac,-4.34, 1
CON western_rey Chae,-4.34, 1
CON chinese 312,-4.34, 1
CON ruelle Boo,-4.340605354433704, 1
CON ruelle Com,-4.342560503599912, 1
CON western Com,-4.35, 5
CON arabic_ancient 2299,-4.35, 1
CON ruelle Ari,-4.35, 1
CON western_SnT Com,-4.35, 1
CON western Eri,-4.352659324714899, 2
