Constellation, Max Magnitude, Same Constellations Accross Cultures 
CON ruelle And,4.53, 1
CON ruelle Cyg,4.53, 1
CON western_rey Boo,4.53, 1
CON western_rey Boop,4.53, 1
CON western_rey Oph,4.53, 1
CON western_SnT And,4.53, 1
CON western_SnT Boo,4.53, 1
CON indian N16,4.54, 1
CON korean 018,4.54, 2
CON western CMa,4.54, 1
CON western LMi,4.54, 2
CON chinese_contemporary CMa,4.54, 1
CON western_hlad LMi,4.54, 1
CON japanese_moon_stations 03,4.54, 1
CON ruelle Lyn,4.54, 1
CON western UMa,4.55, 3
CON western Lac,4.55, 2
CON western_rey Lac,4.55, 2
CON korean 204,4.56, 2
CON western Ret,4.56, 5
CON chinese 054,4.56, 1
CON korean 242,4.57, 1
CON western_SnT Vul,4.57, 1
CON korean 087,4.58, 1
CON western Car,4.58, 2
CON arabic_ancient 2501,4.58, 2
CON arabic_ancient 2599,4.58, 1
CON western_rey Car,4.58, 1
CON chinese 248,4.58, 1
CON indian N28,4.59, 1
CON blackfoot 004,4.59, 2
CON korean 030,4.59, 1
CON western_hlad Scl,4.59, 1
CON ruelle CrB,4.59, 1
CON western_rey Lyr,4.59, 1
CON western_rey Phe,4.59, 1
CON lokono 011,4.59, 1
CON western_SnT Scl,4.59, 1
CON korean 008,4.6, 2
CON korean 249,4.6, 1
CON western_hlad Ant,4.6, 2
CON western_rey Per,4.6, 1
CON western_SnT Hya,4.6, 1
CON western_SnT Per,4.6, 1
CON korean 157,4.61, 1
CON western Lyn,4.61, 3
CON ruelle CarPupVel,4.61, 1
CON western_rey And,4.61, 1
CON western_rey Lyn,4.61, 1
CON korean 194,4.62, 1
CON korean 195,4.62, 1
CON western Cen,4.62, 2
CON western Ser,4.62, 2
CON western_hlad Oph,4.62, 1
CON western_rey Ser,4.62, 1
CON western_rey SerCd,4.62, 1
CON western_rey SerCp,4.62, 1
CON northern_andes 005,4.62, 1
CON western_SnT Car,4.62, 1
CON western_SnT CrA,4.62, 1
CON western_SnT Oph,4.62, 1
CON western_SnT Ser,4.62, 1
CON chinese 128,4.63, 1
CON korean 063,4.64, 2
CON korean 244,4.64, 2
CON korean 255,4.64, 1
CON western Her,4.64, 1
CON chinese_contemporary Her,4.64, 1
CON ruelle Boo,4.64, 1
CON ruelle Ori,4.64, 1
CON chinese 052,4.64, 1
CON indian N02,4.65, 2
CON arabic_arabian_peninsula 2603,4.65, 6
CON western Dor,4.65, 2
CON western_SnT Ori,4.65, 1
CON western_SnT Pup,4.65, 1
CON korean 049,4.66, 2
CON western Vul,4.66, 3
CON arabic_ancient 4205,4.66, 1
CON western_hlad Lup,4.66, 1
CON ruelle Mon,4.66, 1
CON western_rey Mon,4.66, 1
CON western_rey Lup,4.66, 1
CON romanian Rac,4.66, 2
CON western_SnT Mon,4.66, 1
CON korean 052,4.67, 3
CON korean 229,4.67, 2
CON korean 235,4.67, 1
CON western_hlad Sct,4.67, 1
CON western_rey Cnc,4.67, 1
CON western_rey Lep,4.67, 2
CON chinese 001,4.67, 1
CON chinese 294,4.67, 1
CON western_SnT Lyr,4.67, 1
CON korean 200,4.68, 1
CON western_hlad Aps,4.68, 2
CON western_hlad For,4.68, 2
CON ruelle Per,4.68, 1
CON ruelle Aqr,4.68, 1
