Constellation, Average Magnitude, Same Constellations Accross Cultures 
CON romanian Tau,3.5766666666666667, 2
CON boorong Col,3.58, 1
CON ruelle Hya,3.581333333333333, 1
CON ruelle Ret,3.585, 1
CON western_SnT Cep,3.588, 1
CON korean 270,3.59, 1
CON ruelle Oph,3.596818181818182, 1
CON korean 026,3.6, 2
CON western_hlad Sgr,3.6031818181818185, 1
CON arabic_ancient 1101,3.6033333333333335, 1
CON western_rey Cyg,3.6073333333333335, 1
CON western Sgr,3.609047619047619, 2
CON western Vir,3.6133333333333333, 2
CON chinese 001,3.6133333333333337, 1
CON western_rey Lep,3.6181818181818186, 2
CON romanian Csa,3.6242857142857146, 1
CON arabic_al-sufi Cas,3.626153846153846, 1
CON korean 020,3.63, 2
CON chinese 130,3.6310000000000002, 1
CON western_hlad Col,3.633333333333334, 2
CON tukano 001,3.6353488372093024, 1
CON western_rey Hyi,3.6366666666666667, 1
CON arabic_ancient 4205,3.63875, 1
CON romanian Ccp,3.6399999999999997, 1
CON arabic_ancient 0410,3.64, 2
CON korean 112,3.6400000000000006, 1
CON korean 086,3.6425, 1
CON egyptian 015,3.6450000000000005, 1
CON western_rey Peg,3.6458823529411766, 1
CON arabic_al-sufi Gem,3.6473684210526316, 1
CON western_rey Cep,3.6481818181818184, 1
CON arabic_al-sufi Tri,3.6483333333333334, 1
CON western_rey Per,3.6491304347826086, 1
CON western Phe,3.6499999999999995, 2
CON macedonian 017,3.65, 1
CON western Lup,3.6508333333333325, 2
CON western_hlad Dra,3.6512499999999997, 1
CON arabic_ancient 4799,3.656, 1
CON western_rey Hya,3.665882352941176, 1
CON chinese 022,3.6681818181818184, 1
CON boorong Cwp,3.6699999999999995, 1
CON western_rey DraF,3.67, 1
CON korean 185,3.679411764705882, 1
CON ruelle CrB,3.684, 1
CON western_hlad Gru,3.686, 1
CON japanese_moon_stations 19,3.686666666666666, 1
CON korean 226,3.69, 2
CON chinese 077,3.69, 1
CON blackfoot 003,3.690526315789474, 1
CON romanian Sar,3.691034482758621, 1
CON korean 246,3.6942857142857144, 1
CON western_hlad Pav,3.697777777777777, 1
CON tongan 007,3.697777777777778, 1
CON korean 033,3.6990000000000003, 1
CON korean 003,3.6999999999999997, 1
CON western Her,3.7021052631578955, 1
CON western_rey Oph,3.7060000000000004, 1
CON romanian Ber,3.7128571428571426, 1
CON lokono 011,3.7138888888888895, 1
CON western_rey Lyr,3.714, 1
CON arabic_ancient 0501,3.715, 1
CON korean 122,3.7166666666666663, 2
CON korean 141,3.717777777777778, 1
CON ruelle Dra,3.720625, 1
CON western_SnT And,3.722941176470588, 1
CON western Ind,3.723333333333333, 2
CON arabic_al-sufi Ori,3.7261764705882348, 1
CON western Cap,3.7277777777777783, 3
CON western_rey SerCp,3.7316666666666674, 1
CON japanese_moon_stations 08,3.7359999999999998, 1
CON western_rey Col,3.7385714285714284, 1
CON western Col,3.738571428571429, 2
CON arabic_al-sufi Lep,3.739166666666666, 1
CON western_hlad Cep,3.7399999999999998, 1
CON arabic_ancient 3999,3.74, 2
CON ruelle Cap,3.741666666666666, 1
CON korean 114,3.7422222222222223, 1
CON korean 007,3.7433333333333336, 2
CON arabic_al-sufi Lup,3.745, 1
CON ruelle Aqr,3.747272727272727, 1
CON western_rey And,3.749444444444445, 1
CON macedonian 002,3.75, 1
CON western_rey Opha1,3.75, 1
CON arabic_al-sufi Cep,3.751818181818182, 1
CON japanese_moon_stations 18,3.7524999999999995, 1
CON chinese_contemporary Her,3.7533333333333334, 1
CON western_SnT Cap,3.7533333333333334, 1
CON western_rey Her,3.753913043478261, 1
CON western_rey Phe,3.7544444444444443, 1
CON western_rey DraT,3.76, 1
CON blackfoot 004,3.7600000000000002, 2
CON chinese 095,3.7675, 1
CON western Ser,3.768333333333333, 2
CON western_SnT Her,3.778095238095238, 1
CON ruelle Vir,3.78875, 1
CON western_rey Ser,3.7894999999999994, 1
CON chinese 145,3.7900000000000005, 1
CON western Tel,3.795, 3
CON arabic_arabian_peninsula 3199,3.7999999999999994, 3
CON western_rey For,3.8, 1
CON western_SnT Hya,3.8, 1
CON korean 251,3.8018181818181813, 1
CON ruelle Leo,3.8024, 1
CON tongan 008,3.8033333333333332, 1
CON korean 088,3.805, 3
CON western_rey Eri,3.8071428571428574, 1
CON chinese 136,3.8071428571428574, 1
CON western Lep,3.8107692307692314, 2
CON western Pav,3.819090909090909, 3
CON western_SnT Pav,3.819090909090909, 1
CON chinese 108,3.82, 1
CON egyptian 014,3.8240000000000007, 1
CON western_SnT Cet,3.825384615384616, 1
CON western Aqr,3.826, 2
CON egyptian 016,3.826, 1
CON arabic_ancient 2099,3.826521739130435, 1
CON ruelle Aql2,3.8344444444444443, 1
CON korean 207,3.835, 1
CON romanian Vca,3.8373333333333335, 1
CON chinese 213,3.8377777777777777, 1
CON western Eri,3.842142857142857, 2
CON western Hya,3.842222222222222, 2
CON chinese 128,3.844545454545454, 1
CON arabic_ancient 3699,3.845, 2
CON western_rey Hor,3.85, 1
CON arabic_ancient 1501,3.850000000000001, 1
CON western_hlad Hya,3.854210526315789, 1
CON korean 053,3.8549999999999995, 1
CON korean 152,3.8549999999999995, 2
CON arabic_ancient 4399,3.855, 1
CON western_rey Lup,3.856666666666667, 1
CON indian N24,3.86, 1
CON korean 155,3.86, 1
CON western_SnT Aqr,3.86, 1
CON chinese 072,3.8600000000000003, 1
CON ruelle Eri,3.8611999999999993, 1
CON western Tuc,3.8625, 2
CON western Pic,3.8633333333333333, 4
CON western_rey Pic,3.8633333333333333, 1
CON arabic_ancient 4099,3.865, 2
CON chinese 278,3.8658823529411763, 1
CON western_rey Cet,3.8661538461538467, 1
CON western_rey SerCd,3.8762499999999998, 1
CON western_hlad PsA,3.8785714285714286, 1
CON chinese 168,3.88, 1
CON chinese 210,3.8800000000000003, 1
CON western_SnT Eri,3.881666666666666, 1
CON western_hlad Aqr,3.8825, 1
CON western_hlad Ser,3.882999999999999, 1
CON korean 159,3.8839999999999995, 1
CON korean 269,3.89, 1
CON western Pyx,3.89, 2
CON western_hlad Cap,3.891818181818182, 1
CON western_hlad Ind,3.8925, 1
CON arabic_al-sufi Lyr,3.897, 1
CON egyptian 007,3.8974999999999995, 1
CON korean 236,3.9, 2
CON western_hlad Cet,3.9060000000000006, 1
CON western_hlad Eri,3.906999999999999, 1
CON western Cir,3.91, 5
CON korean 116,3.9124999999999996, 1
CON korean 044,3.9133333333333336, 1
CON arabic_ancient 3003,3.9133333333333336, 3
CON macedonian 005,3.915, 1
CON arabic_ancient 0299,3.915, 2
CON western_hlad Dor,3.915, 1
CON ruelle PsA,3.9183333333333334, 1
CON romanian Cap,3.9199999999999995, 1
CON arabic_al-sufi Aql,3.923333333333334, 1
CON romanian Vir,3.9256249999999997, 1
CON arabic_ancient 1299,3.9299999999999997, 1
CON arabic_al-sufi Per,3.9311111111111106, 1
CON arabic_al-sufi Ara,3.9322222222222214, 1
CON ruelle Ser,3.933333333333333, 1
CON chinese 062,3.93375, 1
#CON macedonian 016,3.934285714285714, 10
CON romanian Hra,3.9342857142857146, 1
CON sardinian 002,3.935714285714286, 1
CON arabic_ancient 2004,3.936666666666667, 1
CON korean 214,3.9385714285714286, 1
CON navajo 005,3.9466666666666668, 3
CON korean 229,3.9471428571428575, 2
CON chinese 282,3.95, 1
CON indian N05,3.9566666666666666, 1
CON korean 172,3.9566666666666666, 2
CON chinese 034,3.9566666666666666, 1
CON chinese 083,3.9600000000000004, 1
CON arabic_al-sufi Sgr,3.9629999999999996, 1
CON korean 006,3.9650000000000003, 1
CON western Vol,3.9666666666666663, 2
CON chinese 051,3.966666666666667, 1
CON chinese 094,3.9674999999999994, 1
CON ruelle Cer,3.968, 1
CON korean 195,3.9699999999999998, 1
CON korean 237,3.9716666666666662, 1
CON western Aps,3.973333333333333, 2
CON western_SnT Vol,3.974, 1
CON ruelle Lyn,3.9800000000000004, 1
CON korean 244,3.983333333333333, 2
CON western_rey Tuc,3.9880000000000004, 1
CON korean 220,3.99, 2
