Constellation, Average Equal Spacing, Same Constellations Accross Cultures 
CON western PsA,0.10024900791580152, 2
CON arabic_ancient 5499,0.10031785196403328, 1
CON western_hlad Boo,0.10063709602614118, 1
CON western_hlad Psc,0.10070198202100163, 1
CON western Dra,0.10071852130915131, 4
CON western_hlad CMa,0.10112225458783246, 1
CON korean 098,0.10127311342452056, 1
CON chinese 037,0.10153246467690868, 1
CON western_hlad Ant,0.10154666644455407, 2
CON chinese 097,0.10154833693252072, 1
CON ruelle CMa,0.10194342001219014, 1
CON western_hlad Vol,0.102115549649813, 1
CON western_SnT Hyi,0.10215069169969095, 1
CON western_SnT Boo,0.10215698471153316, 1
CON chinese 212,0.10217126616794786, 1
CON mandar 004,0.10223736844664805, 1
CON korean 195,0.10229301640961441, 1
CON arabic_al-sufi Cep,0.10237345765095522, 1
CON mandar 005,0.10246608285086778, 1
CON chinese 242,0.1026236856703323, 1
CON western Phe,0.10265955476982772, 2
CON western Ind,0.10269033836843856, 2
CON ruelle Sct,0.1027053792045133, 1
CON sami 002,0.10316431418363724, 1
CON western_rey Aur,0.1037265096920798, 1
CON chinese 269,0.10384188554495886, 1
CON ruelle Lib,0.10395269097837191, 1
CON romanian Omu,0.10396546899026089, 1
CON korean 040,0.10412014212882467, 2
CON chinese 141,0.10414501044466173, 1
CON korean 251,0.10416564903872844, 1
CON boorong Djt,0.10417856177967862, 1
CON western_SnT Psc,0.10471866377231091, 1
CON ruelle Hya,0.10487892965888188, 1
CON chinese 210,0.10487982428846872, 1
CON indian N03,0.10490395807805825, 1
CON western_SnT Aqr,0.10492267581030915, 1
CON romanian Hra,0.10504859259963163, 1
CON western_hlad Gem,0.1052183267908672, 1
CON western_rey Peg,0.1052482204213383, 1
CON korean 146,0.10529674444114133, 1
CON maori 006,0.10539049483901741, 1
CON western_rey Lep,0.10549008218144738, 2
CON hawaiian_starlines IWI,0.10553897839571261, 1
CON western Crt,0.10556746577437279, 3
CON ruelle Aql2,0.10599114737882183, 1
CON western_SnT Lyr,0.10616394738779383, 1
CON western_rey Gem,0.10627466166317974, 1
CON chinese 302,0.10631913824044137, 1
CON western_rey Cep,0.10645801327345021, 1
CON arabic_al-sufi Cap,0.10650100150700167, 1
CON chinese 049,0.10666377142867378, 1
CON western_SnT Cen,0.10678333081268679, 1
CON chinese 157,0.1070520584820885, 1
CON korean 112,0.10721769690215195, 1
