Constellation, Max Continuation, Same Constellations Accross Cultures 
CON arabic_al-sufi Cen,2.046710203031363, 1
CON egyptian 017,2.046757339576031, 1
CON sardinian 004,2.0486136408937425, 2
CON western_rey Uma,2.0493468601174194, 1
CON western_rey Dor,2.050391954676801, 2
CON western_SnT Cyg,2.0511527253633695, 1
CON egyptian 007,2.052179732841211, 1
CON japanese_moon_stations 25,2.0581844195663668, 1
CON arabic_al-sufi Ara,2.0622841858235463, 1
CON arabic_al-sufi SHr,2.0746943661818458, 1
CON western_rey Per,2.078928060215613, 1
CON western_SnT Per,2.078928060215613, 1
CON chinese 043,2.083414788698202, 1
CON arabic_al-sufi Aqr,2.0859820190200686, 1
CON western_hlad Mon,2.089755131275067, 1
CON northern_andes 005,2.0923173445944103, 1
CON western_rey Aur,2.0994607143422, 1
CON western_SnT Aur,2.0994607143422, 1
CON romanian Cma,2.1048670551466655, 1
CON korean 186,2.105654199639325, 1
CON korean 097,2.11681046883134, 2
CON arabic_al-sufi Peg,2.121026848475003, 1
CON western_SnT Tau,2.1224013151049856, 1
CON korean 106,2.122876660142804, 1
CON hawaiian_starlines KOM,2.124437544200691, 1
CON romanian Tdz,2.1331622631886997, 1
CON chinese 130,2.143497751370365, 1
CON chinese 103,2.147818453824631, 1
CON arabic_al-sufi Dra,2.1553275567347217, 1
CON chinese 128,2.1556717123826035, 1
CON romanian Psc,2.16453858125467, 1
CON western_hlad Cap,2.1648330904551316, 1
CON western_rey Hya,2.1712027724756853, 1
CON arabic_al-sufi Vir,2.1828504948293714, 1
CON ruelle CMa,2.1833563114220644, 1
CON korean 197,2.201127185903652, 2
CON korean 142,2.2023056186398695, 1
CON chinese 215,2.206097976547394, 1
CON western_rey Col,2.208967985344649, 1
CON arabic_al-sufi Her,2.20919231561511, 1
CON western_hlad Car,2.211101203492963, 1
CON japanese_moon_stations 26,2.2185991573371884, 1
CON arabic_al-sufi Lup,2.2202867660729178, 1
CON romanian Ccp,2.2208418612623504, 1
CON western Eri,2.235432759077129, 2
CON western_hlad Eri,2.235432759077129, 1
CON western_rey Eri,2.235432759077129, 1
CON navajo 003,2.2408041347996512, 1
CON western_rey Aqr,2.247739956375448, 1
CON arabic_al-sufi Crv,2.2529999556194205, 1
CON western_rey Cyg,2.2586851435000304, 1
CON arabic_ancient 4699,2.261159328026211, 1
CON chinese 012,2.2708874361273175, 1
CON western Gru,2.27249064007746, 3
CON arabic_al-sufi Leo,2.2774089863896982, 1
CON western_SnT Cap,2.2814927312344073, 1
CON chinese 037,2.2848547407657582, 1
CON western Col,2.291276553365242, 2
CON western_hlad Col,2.291276553365242, 2
CON romanian Ber,2.2944812419818774, 1
CON bugis 006,2.295481741018194, 1
CON western_rey PsA,2.2964977016482777, 2
CON boorong Wpl,2.3015087114799595, 1
CON western Cam,2.3034640349453697, 2
CON western_SnT Vol,2.308447643687442, 1
CON mandar 002,2.337903143596744, 1
CON arabic_al-sufi Psc,2.3386328921328046, 1
CON western_hlad Cam,2.344002177481075, 1
CON western Hya,2.3482809670508917, 2
CON inuit 010,2.3497424276796184, 1
CON chinese 252,2.3656622210929266, 1
CON western_SnT Ser,2.3670735554860927, 1
CON western_rey Ari,2.367327273368644, 1
CON japanese_moon_stations 27,2.3710925889510683, 1
CON boorong Unu,2.380518245359269, 1
CON western_rey Psc,2.381495254448679, 1
CON arabic_al-sufi Tau,2.3883593622901254, 1
CON tukano 004,2.391544838604684, 1
CON western_SnT Psc,2.4041656974775014, 1
CON arabic_ancient 6099,2.4071718475445025, 1
CON ruelle Ara,2.410550760431743, 1
CON arabic_ancient 1999,2.416253583077914, 2
CON arabic_al-sufi Del,2.4268499736792135, 1
CON western Vol,2.456468560676419, 2
